ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
AAPL,2020-01-31,2020-02-06,74.67839050292969,78.46647644042969,10,37.880859375
JNJ,2020-02-24,2020-04-02,124.0253677368164,113.17920684814452,10,-108.46160888671889
AAPL,2020-02-24,2020-04-07,72.11541748046875,62.74365997314453,10,-93.71757507324219
SPY,2020-02-25,2020-04-07,286.50103759765625,244.38412475585935,10,-421.16912841796903
SPY,2020-05-13,2020-05-18,259.5652770996094,271.9167785644531,10,123.5150146484375
SPY,2020-06-11,2020-06-16,277.08782958984375,288.4714050292969,10,113.83575439453125
SPY,2020-06-26,2020-07-06,277.78875732421875,293.5274658203125,10,157.3870849609375
JNJ,2020-06-11,2020-07-13,120.57135009765624,124.28599548339844,10,37.14645385742202
AAPL,2020-07-23,2020-07-31,90.06214904785156,103.0750503540039,10,130.12901306152344
JNJ,2020-07-31,2020-08-20,124.75669860839844,129.60116577148438,10,48.444671630859375
AAPL,2020-09-08,2020-09-30,109.63573455810548,112.54135131835938,10,29.05616760253892
JNJ,2020-09-03,2020-09-30,128.8525848388672,128.27528381347656,10,-5.77301025390625
AAPL,2020-10-02,2020-10-05,109.83008575439452,113.21188354492188,10,33.81797790527358
SPY,2020-09-08,2020-10-05,308.4884948730469,315.81170654296875,10,73.23211669921875
SPY,2020-10-26,2020-11-04,315.4678039550781,319.3252258300781,10,38.57421875
AAPL,2020-10-28,2020-11-06,108.06143951416016,115.53905487060548,10,74.77615356445327
JNJ,2020-10-19,2020-11-10,124.34635925292967,127.75830841064452,10,34.11949157714844
AAPL,2020-11-23,2020-12-01,110.82752990722656,119.46207427978516,10,86.34544372558594
AAPL,2021-01-15,2021-01-21,123.76473236083984,133.2364044189453,10,94.71672058105469
AAPL,2021-01-29,2021-02-04,128.45675659179688,133.74261474609375,10,52.85858154296875
SPY,2021-01-29,2021-02-08,345.4515686035156,364.5318298339844,10,190.8026123046875
SPY,2021-02-25,2021-03-10,356.8960266113281,363.6636657714844,10,67.6763916015625
JNJ,2021-02-23,2021-03-26,140.06394958496094,143.9836883544922,10,39.1973876953125
AAPL,2021-03-18,2021-04-05,117.50553131103516,122.74078369140624,10,52.352523803710795
JNJ,2021-04-09,2021-04-20,140.77105712890625,145.3368377685547,10,45.657806396484375
JNJ,2021-04-27,2021-05-04,142.45591735839844,146.46302795410156,10,40.07110595703125
SPY,2021-05-11,2021-05-14,387.9215698242187,390.1412353515625,10,22.19665527343807
AAPL,2021-05-04,2021-06-14,124.64186096191406,127.42194366455078,10,27.800827026367188
JNJ,2021-06-07,2021-07-02,144.8029327392578,148.439697265625,10,36.367645263671875
AAPL,2021-08-02,2021-08-16,142.10943603515625,147.79931640625,10,56.8988037109375
AAPL,2021-08-18,2021-08-30,143.1439208984375,149.7553253173828,10,66.11404418945312
SPY,2021-07-19,2021-10-07,399.3008728027344,413.484375,10,141.83502197265625
AAPL,2021-09-17,2021-10-18,142.8504638671875,143.3297119140625,10,4.79248046875
JNJ,2021-09-09,2021-10-26,148.51768493652344,146.4675750732422,10,-20.5010986328125
AAPL,2021-11-10,2021-11-17,144.88076782226562,150.33633422851562,10,54.5556640625
SPY,2021-11-26,2021-12-07,432.6286926269531,441.4043884277344,10,87.7569580078125
JNJ,2021-11-30,2021-12-08,138.69252014160156,146.1728057861328,10,74.8028564453125
JNJ,2022-01-12,2022-01-27,151.02029418945312,151.73187255859375,10,7.11578369140625
AAPL,2022-01-06,2022-01-31,168.4659881591797,171.18887329101562,10,27.228851318359375
SPY,2022-01-05,2022-02-02,443.0497131347656,432.6163024902344,10,-104.3341064453125
AAPL,2022-02-11,2022-02-15,165.38548278808594,169.4553680419922,10,40.6988525390625
JNJ,2022-02-14,2022-03-03,147.2935333251953,150.81704711914062,10,35.235137939453125
SPY,2022-02-18,2022-03-16,410.74658203125,412.0614318847656,10,13.14849853515625
AAPL,2022-02-22,2022-03-21,161.1488494873047,162.1884002685547,10,10.3955078125
AAPL,2022-04-11,2022-05-04,162.5512237548828,162.81602478027344,10,2.64801025390625
AAPL,2022-05-05,2022-05-27,153.74453735351562,146.96774291992188,10,-67.7679443359375
SPY,2022-04-12,2022-05-27,415.8749694824219,394.0227661132813,10,-218.52203369140568
AAPL,2022-06-03,2022-06-07,142.78382873535156,146.0543670654297,10,32.70538330078125
JNJ,2022-06-09,2022-06-23,156.49801635742188,161.8584747314453,10,53.604583740234375
AAPL,2022-06-28,2022-07-05,134.98562622070312,139.0320281982422,10,40.464019775390625
SPY,2022-06-09,2022-07-06,380.9095458984375,365.2206726074219,10,-156.88873291015625
SPY,2022-07-13,2022-07-19,361.0085754394531,373.8162536621094,10,128.0767822265625
SPY,2022-08-22,2022-09-12,393.9046936035156,391.6366882324219,10,-22.6800537109375
SPY,2022-09-13,2022-10-18,374.6072998046875,355.12371826171875,10,-194.8358154296875
AAPL,2022-08-26,2022-10-21,160.9213104248047,144.84100341796875,10,-160.80307006835938
JNJ,2022-10-07,2022-10-21,145.29637145996094,153.0146942138672,10,77.1832275390625
SPY,2022-11-03,2022-11-10,355.0088806152344,377.66754150390625,10,226.58660888671875
AAPL,2022-11-03,2022-11-11,136.58937072753906,147.4751434326172,10,108.85772705078125
JNJ,2022-11-11,2022-11-18,153.5044403076172,159.80789184570312,10,63.034515380859375
