,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
START,10000.0,10000.0,0.0,0.0,0.0,,10000.0,0.0
2022-01-03,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-04,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-05,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-06,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-07,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-10,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-11,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-12,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-13,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-14,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-18,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-19,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-20,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-21,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-24,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-25,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-26,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-27,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-28,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-31,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-01,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-02,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-03,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-04,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-07,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-08,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-09,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-10,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-02-11,8346.14517211914,10000.0,10.0,0.0,0.0,0.0,10000.0,0.0
2022-02-14,6873.2098388671875,10002.353820800781,10.0,10.0,0.0,0.00023538208007822803,10002.353820800781,0.0
2022-02-15,8567.76351928711,10055.908203125,0.0,10.0,0.0,0.0053541779548778035,10055.908203125,0.0
2022-02-16,8567.76351928711,10055.018310546875,0.0,10.0,0.0,-8.849450095904654e-05,10055.908203125,-8.84945009589939e-05
2022-02-17,6911.554870605469,10045.946350097656,10.0,10.0,0.0,-0.0009022321162461822,10055.908203125,-0.0009906467746242929
2022-02-18,2804.0890502929688,10014.60678100586,10.0,10.0,10.0,-0.0031196233783881144,10055.908203125,-0.004107179708174513
2022-02-22,1192.6005554199219,9921.429595947266,20.0,10.0,10.0,-0.009304128169597026,10055.908203125,-0.013373094151351088
2022-02-23,1192.6005554199219,9766.706848144531,20.0,10.0,10.0,-0.015594803783714362,10055.908203125,-0.02875934715579402
2022-02-24,1192.6005554199219,9851.571960449219,20.0,10.0,10.0,0.00868922489680446,10055.908203125,-0.02032001869431159
2022-02-25,1192.6005554199219,10052.705535888672,20.0,10.0,10.0,0.02041639407872542,10055.908203125,-0.0003184861249362694
2022-02-28,1192.6005554199219,10034.606475830078,20.0,10.0,10.0,-0.0018004168125664854,10055.908203125,-0.002118329529728811
2022-03-01,1192.6005554199219,9928.941192626953,20.0,10.0,10.0,-0.010530087398807009,10055.908203125,-0.012626110733448251
2022-03-02,1192.6005554199219,10087.929229736328,20.0,10.0,10.0,0.01601258724620469,10087.929229736328,0.0
2022-03-03,2700.771026611328,10082.675323486328,20.0,0.0,10.0,-0.0005208111724765985,10087.929229736328,-0.0005208111724766058
2022-03-04,2700.771026611328,9989.171905517578,20.0,0.0,10.0,-0.009273671418432494,10087.929229736328,-0.009789652759224526
2022-03-07,2700.771026611328,9792.755584716797,20.0,0.0,10.0,-0.01966292327918484,10087.929229736328,-0.029260082847274924
2022-03-08,2700.771026611328,9726.192169189453,20.0,0.0,10.0,-0.006797209932536963,10087.929229736328,-0.035858405854055524
2022-03-09,2700.771026611328,9939.830780029297,20.0,0.0,10.0,0.021965287866366312,10087.929229736328,-0.014680758194702577
2022-03-10,2700.771026611328,9834.68490600586,20.0,0.0,10.0,-0.010578235822152227,10087.929229736328,-0.025103697494623274
2022-03-11,2700.771026611328,9709.172821044922,20.0,0.0,10.0,-0.012762186705574052,10087.929229736328,-0.037545506125770664
2022-03-14,2700.771026611328,9599.51919555664,20.0,0.0,10.0,-0.011293817455860222,10087.929229736328,-0.048415291489158595
2022-03-15,2700.771026611328,9773.93539428711,20.0,0.0,10.0,0.018169264020139853,10087.929229736328,-0.031125697682697337
2022-03-16,6821.385345458984,9951.587677001953,20.0,0.0,0.0,0.018176126150647676,10087.929229736328,-0.013515316139657198
2022-03-17,6821.385345458984,9971.790008544922,20.0,0.0,0.0,0.0020300611519161738,10087.929229736328,-0.011512691905992072
2022-03-18,8429.539337158203,10037.693328857422,10.0,0.0,0.0,0.006608975946748474,10087.929229736328,-0.004979803063132639
2022-03-21,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0013678452346073122,10087.929229736328,-0.003618769428414427
2022-03-22,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-23,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-24,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-25,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-28,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-29,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-30,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-03-31,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-01,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-04,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-05,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-06,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-07,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-08,10051.42333984375,10051.42333984375,0.0,0.0,0.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-11,4251.694488525391,10051.42333984375,10.0,0.0,10.0,0.0,10087.929229736328,-0.003618769428414427
2022-04-12,92.94479370117188,10054.687957763672,10.0,0.0,20.0,0.00032479160508347427,10087.929229736328,-0.0032951531692619824
2022-04-13,92.94479370117188,10176.825256347656,10.0,0.0,20.0,0.012147298762233305,10176.825256347656,0.0
2022-04-14,92.94479370117188,10021.95571899414,10.0,0.0,20.0,-0.015217863474359827,10176.825256347656,-0.01521786347435983
2022-04-18,92.94479370117188,10023.215637207031,10.0,0.0,20.0,0.00012571580320419606,10176.825256347656,-0.015094060797085328
2022-04-19,92.94479370117188,10180.233001708984,10.0,0.0,20.0,0.015665368299479843,10180.233001708984,0.0
2022-04-20,92.94479370117188,10172.303771972658,10.0,0.0,20.0,-0.0007788848973294682,10180.233001708984,-0.000778884897329482
2022-04-21,92.94479370117188,10038.163452148438,10.0,0.0,20.0,-0.013186818131976308,10180.233001708984,-0.013955432015819015
2022-04-22,92.94479370117188,9764.650573730469,10.0,0.0,20.0,-0.027247302728411915,10180.233001708984,-0.04082248686339012
2022-04-25,92.94479370117188,9822.215270996094,10.0,0.0,20.0,0.005895213231745355,10180.233001708984,-0.03516793089635465
2022-04-26,92.94479370117188,9527.081756591797,10.0,0.0,20.0,-0.03004755101181633,10180.233001708984,-0.06415877171058278
2022-04-27,92.94479370117188,9547.02865600586,10.0,0.0,20.0,0.0020937050739866514,10180.233001708984,-0.06219939618246726
2022-04-28,92.94479370117188,9816.385192871094,10.0,0.0,20.0,0.028213651238575332,10180.233001708984,-0.03574061701503398
2022-04-29,92.94479370117188,9457.61001586914,10.0,0.0,20.0,-0.03654860419113393,10180.233001708984,-0.07098295154133849
2022-05-02,92.94479370117188,9507.715148925781,10.0,0.0,20.0,0.00529786415093958,10180.233001708984,-0.06606114542469761
2022-05-03,92.94479370117188,9558.678131103516,10.0,0.0,20.0,0.005360171332382979,10180.233001708984,-0.06105507315020458
2022-05-04,1721.1050415039062,9863.445129394531,0.0,0.0,20.0,0.031883801725608674,10180.233001708984,-0.031117939271259613
2022-05-05,183.65966796875,9574.043273925781,10.0,0.0,20.0,-0.029340849132549973,10180.233001708984,-0.05954576164233572
2022-05-06,183.65966796875,9534.437408447266,10.0,0.0,20.0,-0.0041367961628479,10180.233001708984,-0.06343622912690773
2022-05-09,183.65966796875,9233.241271972656,10.0,0.0,20.0,-0.031590341786475795,10180.233001708984,-0.09302259875361929
2022-05-10,183.65966796875,9274.761962890625,10.0,0.0,20.0,0.004496870567435973,10180.233001708984,-0.08894403877262488
2022-05-11,183.65966796875,9075.777893066406,10.0,0.0,20.0,-0.021454358680080055,10180.233001708984,-0.1084901601424221
2022-05-12,183.65966796875,9029.29946899414,10.0,0.0,20.0,-0.005121150453425427,10180.233001708984,-0.11305571616304197
2022-05-13,183.65966796875,9251.993408203125,10.0,0.0,20.0,0.024663479151809886,10180.233001708984,-0.09118058430981228
