,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
START,10000.0,10000.0,0.0,0.0,0.0,,10000.0,0.0
2020-01-02,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-03,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-06,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-07,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-08,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-09,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-10,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-13,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-14,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-15,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-16,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-17,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-21,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-22,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-23,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-24,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-27,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-28,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-29,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-30,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-31,9253.216094970703,10000.0,10.0,0.0,0.0,0.0,10000.0,0.0
2020-02-03,9253.216094970703,9997.94921875,10.0,0.0,0.0,-0.00020507812500003553,10000.0,-0.000205078125
2020-02-04,9253.216094970703,10022.53547668457,10.0,0.0,0.0,0.0024591301072485194,10022.53547668457,0.0
2020-02-05,9253.216094970703,10028.808517456055,10.0,0.0,0.0,0.000625893596094329,10028.808517456055,0.0
2020-02-06,10037.880859375,10037.880859375,0.0,0.0,0.0,0.0009046280924751571,10037.880859375,0.0
2020-02-07,10037.880859375,10037.880859375,0.0,0.0,0.0,0.0,10037.880859375,0.0
2020-02-10,10037.880859375,10037.880859375,0.0,0.0,0.0,0.0,10037.880859375,0.0
2020-02-11,10037.880859375,10037.880859375,0.0,0.0,0.0,0.0,10037.880859375,0.0
2020-02-12,10037.880859375,10037.880859375,0.0,0.0,0.0,0.0,10037.880859375,0.0
2020-02-13,8770.180435180664,10037.880859375,0.0,10.0,0.0,0.0,10037.880859375,0.0
2020-02-14,8770.180435180664,10038.218765258789,0.0,10.0,0.0,3.366306977770073e-05,10038.218765258789,0.0
2020-02-18,8770.180435180664,10029.856948852539,0.0,10.0,0.0,-0.0008329980250270097,10038.218765258789,-0.0008329980250270457
2020-02-19,8770.180435180664,10028.167953491211,0.0,10.0,0.0,-0.00016839675480329053,10038.218765258789,-0.0010012545056661765
2020-02-20,8770.180435180664,10023.353271484375,0.0,10.0,0.0,-0.00048011581269535863,10038.218765258789,-0.0014808896002408277
2020-02-21,8013.06266784668,10036.529846191406,10.0,10.0,0.0,0.0013145874788746958,10038.218765258789,-0.00016824888029218712
2020-02-24,3097.115936279297,9974.470520019531,20.0,20.0,10.0,-0.006183344953178738,10038.218765258789,-0.0063505534926060515
2020-02-25,232.10556030273438,9814.66781616211,20.0,20.0,20.0,-0.0160211716037143,10038.218765258789,-0.0222699817890367
2020-02-26,232.10556030273438,9799.206237792969,20.0,20.0,20.0,-0.0015753542207184168,10038.218765258789,-0.023810252899948477
2020-02-27,232.10556030273438,9372.753601074219,20.0,20.0,20.0,-0.043519100054658866,10038.218765258789,-0.06629315217632781
2020-02-28,232.10556030273438,9270.189056396484,20.0,20.0,20.0,-0.010942840177296409,10038.218765258789,-0.07651055698450945
2020-03-02,232.10556030273438,9722.611541748047,20.0,20.0,20.0,0.04880401927071687,10038.218765258789,-0.03144056041127788
2020-03-03,232.10556030273438,9439.20181274414,20.0,20.0,20.0,-0.029149547710197954,10038.218765258789,-0.059673630005731955
2020-03-04,232.10556030273438,9869.535217285156,20.0,20.0,20.0,0.045590020541780296,10038.218765258789,-0.01680413148171553
2020-03-05,232.10556030273438,9606.442260742188,20.0,20.0,20.0,-0.026657076625269727,10038.218765258789,-0.043013259086456083
2020-03-06,232.10556030273438,9496.329345703125,20.0,20.0,20.0,-0.011462403255058429,10038.218765258789,-0.05398262702055129
2020-03-09,232.10556030273438,8864.98275756836,20.0,20.0,20.0,-0.06648322369110293,10038.218765258789,-0.1168769116440135
2020-03-10,232.10556030273438,9306.172943115234,20.0,20.0,20.0,0.049767743222085103,10038.218765258789,-0.07292586854921788
2020-03-11,232.10556030273438,8833.27377319336,20.0,20.0,20.0,-0.05081564385408599,10038.218765258789,-0.12003573743935693
2020-03-12,232.10556030273438,8111.985397338867,20.0,20.0,20.0,-0.08165583840992352,10038.218765258789,-0.19188995706951628
2020-03-13,232.10556030273438,8795.521545410156,20.0,20.0,20.0,0.08426249735305524,10038.218765258789,-0.12379658671610905
2020-03-16,232.10556030273438,7960.723037719727,20.0,20.0,20.0,-0.09491176883377195,10038.218765258789,-0.2069586025290717
2020-03-17,232.10556030273438,8410.397491455078,20.0,20.0,20.0,0.05648663464420145,10038.218765258789,-0.16216236285240443
2020-03-18,232.10556030273438,8118.156661987305,20.0,20.0,20.0,-0.03474756451935701,10038.218765258789,-0.19127518020593612
2020-03-19,232.10556030273438,7983.890609741211,20.0,20.0,20.0,-0.016538982657822388,10038.218765258789,-0.20465066597546072
2020-03-20,232.10556030273438,7597.046661376953,20.0,20.0,20.0,-0.048453062206572084,10038.218765258789,-0.24318777673290742
2020-03-23,232.10556030273438,7316.892547607422,20.0,20.0,20.0,-0.0368767135778989,10038.218765258789,-0.2710965243225809
2020-03-24,232.10556030273438,7934.844055175781,20.0,20.0,20.0,0.08445545749751715,10038.218765258789,-0.20953664781271403
2020-03-25,232.10556030273438,7999.109420776368,20.0,20.0,20.0,0.008099134041414047,10038.218765258789,-0.20313457916852362
2020-03-26,232.10556030273438,8449.144592285156,20.0,20.0,20.0,0.05626065951040693,10038.218765258789,-0.15830240505150675
2020-03-27,232.10556030273438,8195.992584228516,20.0,20.0,20.0,-0.029961850610035867,10038.218765258789,-0.18352122265018003
2020-03-30,1362.7075958251953,8549.363861083984,20.0,10.0,20.0,0.043115128915008905,10038.218765258789,-0.14831863490837374
2020-03-31,1362.7075958251953,8458.971099853516,20.0,10.0,20.0,-0.010573039433019016,10038.218765258789,-0.15732349556585498
2020-04-01,1362.7075958251953,8160.6842041015625,20.0,10.0,20.0,-0.035262786954919245,10038.218765258789,-0.18703861761363227
2020-04-02,2494.4996643066406,8321.731872558594,20.0,0.0,20.0,0.019734579163851018,10038.218765258789,-0.1709951668557747
2020-04-03,2494.4996643066406,8237.601699829102,20.0,0.0,20.0,-0.010109695195409607,10038.218765258789,-0.17937615303438417
2020-04-06,5570.641059875488,8646.782455444336,10.0,0.0,10.0,0.049672316109156345,10038.218765258789,-0.1386138659011962
2020-04-07,8641.918907165527,8641.918907165527,0.0,0.0,0.0,-0.000562469138534416,10038.218765258789,-0.13909836901798828
