,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
START,10000.0,10000.0,0.0,0.0,0.0,,10000.0,0.0
2022-01-03,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-04,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-05,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-06,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-07,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-10,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-11,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-12,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-13,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-14,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-18,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-19,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-20,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-21,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-24,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-25,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-26,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-27,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-28,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2022-01-31,8467.560577392578,10000.0,0.0,10.0,0.0,0.0,10000.0,0.0
2022-02-01,8467.560577392578,9987.458953857422,0.0,10.0,0.0,-0.0012541046142577894,10000.0,-0.0012541046142578124
2022-02-02,6745.289459228516,10004.269256591797,10.0,10.0,0.0,0.0016831411084681225,10004.269256591797,0.0
2022-02-03,6745.289459228516,9975.384368896484,10.0,10.0,0.0,-0.0028872561258065366,10004.269256591797,-0.0028872561258065197
2022-02-04,6745.289459228516,9962.489318847656,10.0,10.0,0.0,-0.001292687035602924,10004.269256591797,-0.004176210842847107
2022-02-07,6745.289459228516,9950.260314941406,10.0,10.0,0.0,-0.0012275048449100767,10004.269256591797,-0.005398589368714184
2022-02-08,2479.760284423829,9985.35140991211,10.0,10.0,10.0,0.0035266509478160124,10004.269256591797,-0.0018909773612123205
2022-02-09,2479.760284423829,10061.82388305664,10.0,10.0,10.0,0.007658465887201427,10061.82388305664,0.0
2022-02-10,2479.760284423829,9924.860534667969,10.0,10.0,10.0,-0.013612179062218344,10061.82388305664,-0.013612179062218325
2022-02-11,2479.760284423829,9791.714630126953,10.0,10.0,10.0,-0.013415392999824194,10061.82388305664,-0.026844959330338834
2022-02-14,2479.760284423829,9761.679229736328,10.0,10.0,10.0,-0.0030674301207893606,10061.82388305664,-0.029830044414286924
2022-02-15,3967.9049682617197,9882.205047607422,10.0,0.0,10.0,0.012346832449067202,10061.82388305664,-0.017851518525551162
2022-02-16,8192.381591796875,9884.581451416016,10.0,0.0,0.0,0.0002404730317926429,10061.82388305664,-0.017615338302540556
2022-02-17,8192.381591796875,9848.590240478516,10.0,0.0,0.0,-0.003641146680251617,10061.82388305664,-0.021192344952210358
2022-02-18,8192.381591796875,9833.094940185547,10.0,0.0,0.0,-0.001573352115847193,10061.82388305664,-0.022732354047287212
2022-02-22,9803.870086669922,9803.870086669922,0.0,0.0,0.0,-0.002972091055094994,10061.82388305664,-0.02563688247625698
2022-02-23,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-02-24,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-02-25,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-02-28,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-03-01,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-03-02,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-03-03,9803.870086669922,9803.870086669922,0.0,0.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-03-04,8286.747436523438,9803.870086669922,0.0,10.0,0.0,0.0,10061.82388305664,-0.02563688247625698
2022-03-07,8286.747436523438,9828.30795288086,0.0,10.0,0.0,0.0024926754429523967,10061.82388305664,-0.023208111460687027
2022-03-08,8286.747436523438,9797.066497802734,0.0,10.0,0.0,-0.003178721630203607,10061.82388305664,-0.026313060964994417
2022-03-09,8286.747436523438,9802.79556274414,0.0,10.0,0.0,0.000584773507732228,10061.82388305664,-0.025743674638221838
2022-03-10,8286.747436523438,9805.481414794922,0.0,10.0,0.0,0.0002739883774571794,10061.82388305664,-0.025476739728408516
2022-03-11,8286.747436523438,9802.706146240234,0.0,10.0,0.0,-0.00028303236090987394,10061.82388305664,-0.02575256134752479
2022-03-14,8286.747436523438,9823.653106689453,0.0,10.0,0.0,0.002136854878308503,10061.82388305664,-0.02367073595556063
2022-03-15,8286.747436523438,9863.488006591797,0.0,10.0,0.0,0.004054998631335849,10061.82388305664,-0.019711722126127307
2022-03-16,8286.747436523438,9848.986053466797,0.0,10.0,0.0,-0.0014702662096114372,10061.82388305664,-0.02115300685676349
2022-03-17,8286.747436523438,9869.395751953125,0.0,10.0,0.0,0.0020722639239745266,10061.82388305664,-0.019124577545781757
2022-03-18,4068.8836669921875,9851.850891113281,0.0,10.0,10.0,-0.001777703648814688,10061.82388305664,-0.020868283363311316
2022-03-21,4068.8836669921875,9859.479217529297,0.0,10.0,10.0,0.0007743038846534933,10061.82388305664,-0.020110137871532124
2022-03-22,2413.263702392578,9901.389770507812,10.0,10.0,10.0,0.00425078769921261,10061.82388305664,-0.01594483409901332
2022-03-23,2413.263702392578,9854.174499511719,10.0,10.0,10.0,-0.004768549879404671,10061.82388305664,-0.02063735024169802
2022-03-24,2413.263702392578,9963.564910888672,10.0,10.0,10.0,0.011100920871897735,10061.82388305664,-0.009765522961838908
2022-03-25,2413.263702392578,10005.85220336914,10.0,10.0,10.0,0.004244193003074104,10061.82388305664,-0.005562776722990762
2022-03-28,2413.263702392578,10053.183288574219,10.0,10.0,10.0,0.004730340229205154,10061.82388305664,-0.0008587503203044519
2022-03-29,2413.263702392578,10138.844146728516,10.0,10.0,10.0,0.008520769560787178,10138.844146728516,0.0
2022-03-30,2413.263702392578,10116.692199707031,10.0,10.0,10.0,-0.002184859210862977,10138.844146728516,-0.0021848592108630162
2022-03-31,2413.263702392578,9997.585906982422,10.0,10.0,10.0,-0.011773244690399753,10138.844146728516,-0.013932381019159203
2022-04-01,2413.263702392578,10015.382995605469,10.0,10.0,10.0,0.0017801386043221346,10138.844146728516,-0.012177043984139345
2022-04-04,2413.263702392578,10077.30484008789,10.0,10.0,10.0,0.006182673644092418,10138.844146728516,-0.0060696570289505624
2022-04-05,2413.263702392578,9999.613037109375,10.0,10.0,10.0,-0.007709581501341045,10138.844146728516,-0.013732444014741671
2022-04-06,2413.263702392578,9966.499786376953,10.0,10.0,10.0,-0.0033114532141930164,10138.844146728516,-0.01699842288306331
2022-04-07,2413.263702392578,9986.680603027344,10.0,10.0,10.0,0.0020248650060652462,10138.844146728516,-0.015007977388652359
2022-04-08,2413.263702392578,9958.413848876953,10.0,10.0,10.0,-0.0028304453976251143,10138.844146728516,-0.017795943525750087
2022-04-11,6587.480316162109,9822.85400390625,10.0,10.0,0.0,-0.013612594036347514,10138.844146728516,-0.03116628860738782
2022-04-12,8231.724090576172,9842.122497558594,0.0,10.0,0.0,0.0019615982935998755,10138.844146728516,-0.029265826052337983
2022-04-13,8231.724090576172,9848.92562866211,0.0,10.0,0.0,0.0006912260140232718,10138.844146728516,-0.028594829338604025
2022-04-14,8231.724090576172,9842.122497558594,0.0,10.0,0.0,-0.000690748550655873,10138.844146728516,-0.029265826052337983
2022-04-18,8231.724090576172,9822.070922851562,0.0,10.0,0.0,-0.0020373222048399864,10138.844146728516,-0.031243524339918553
2022-04-19,8231.724090576172,9870.588836669922,0.0,10.0,0.0,0.004939682700262349,10138.844146728516,-0.026458174736333356
2022-04-20,8231.724090576172,9877.83950805664,0.0,10.0,0.0,0.0007345733376900032,10138.844146728516,-0.025743036868368565
2022-04-21,8231.724090576172,9873.095245361328,0.0,10.0,0.0,-0.0004802935592791435,10138.844146728516,-0.02621096621284353
2022-04-22,8231.724090576172,9856.803283691406,0.0,10.0,0.0,-0.0016501371925462527,10138.844146728516,-0.027817851715189353
2022-04-25,8231.724090576172,9896.817169189453,0.0,10.0,0.0,0.0040595195365471515,10138.844146728516,-0.023871259291144833
2022-04-26,8231.724090576172,9884.911193847656,0.0,10.0,0.0,-0.0012030105374546407,10138.844146728516,-0.025045552452129912
2022-04-27,8231.724090576172,9861.81625366211,0.0,10.0,0.0,-0.0023363831735707663,10138.844146728516,-0.027323419618378728
2022-04-28,8231.724090576172,9873.990325927734,0.0,10.0,0.0,0.0012344655337808152,10138.844146728516,-0.026122683904381862
2022-04-29,8231.724090576172,9847.135467529297,0.0,10.0,0.0,-0.00271975741437791,10138.844146728516,-0.028771393955527358
2022-05-02,8231.724090576172,9830.843505859375,0.0,10.0,0.0,-0.001654487411455241,10138.844146728516,-0.03037827945787318
2022-05-03,9827.71011352539,9827.71011352539,0.0,0.0,0.0,-0.00031873077138466765,10138.844146728516,-0.03068732773681289
2022-05-04,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-05,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-06,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-09,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
