,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
0,JNJ,2021-02-01,2021-02-04,141.1653594970703,140.54071044921875,10,-6.246490478515625
1,AAPL,2021-02-01,2021-02-16,130.57887268066406,129.84786987304688,10,-7.310028076171875
2,JNJ,2021-02-09,2021-02-22,144.2539825439453,141.3123321533203,10,-29.41650390625
3,SPY,2021-02-05,2021-02-26,361.9180603027344,355.0570373535156,10,-68.6102294921875
4,AAPL,2021-03-18,2021-03-23,117.50553131103516,119.465087890625,10,19.595565795898438
5,JNJ,2021-03-16,2021-04-13,140.8758087158203,139.22586059570312,10,-16.499481201171875
6,AAPL,2021-04-05,2021-05-04,122.74078369140624,124.64186096191406,10,19.010772705078267
7,SPY,2021-03-12,2021-05-12,367.8456726074219,379.68011474609375,10,118.34442138671875
8,JNJ,2021-04-21,2021-06-02,145.43292236328125,145.99761962890625,10,5.64697265625
9,SPY,2021-05-26,2021-06-22,392.47320556640625,397.55316162109375,10,50.799560546875
10,SPY,2021-06-23,2021-07-22,397.0740051269531,409.15716552734375,10,120.83160400390625
11,AAPL,2021-06-09,2021-08-02,124.15044403076172,142.10943603515625,10,179.5899200439453
12,AAPL,2021-08-04,2021-08-10,143.50588989257812,142.40060424804688,10,-11.0528564453125
13,JNJ,2021-07-01,2021-08-30,145.7868194580078,153.4573516845703,10,76.705322265625
14,SPY,2021-07-23,2021-09-14,413.3666687011719,417.3411865234375,10,39.74517822265625
15,AAPL,2021-08-12,2021-09-15,145.61830139160156,145.75521850585938,10,1.369171142578125
16,JNJ,2021-10-20,2021-11-11,144.72674560546875,144.09046936035156,10,-6.362762451171875
17,AAPL,2021-10-18,2021-11-12,143.3297119140625,146.908203125,10,35.784912109375
18,SPY,2021-10-14,2021-11-29,417.1039733886719,437.9355773925781,10,208.3160400390625
